OBJECTID;Id;POINT_X;POINT_Y;POINT_Z;POINT_M;RASTERVALU
95;0;853906,789100000052713;987772,588800000026822;2422,539467940000122;nan;-5,7254887
96;0;853971,789100000052713;987772,588800000026822;2489,230203640000127;nan;-6,0701032
97;0;854036,789100000052713;987772,588800000026822;2522,340012170000136;nan;-6,4434624
98;0;854101,789100000052713;987772,588800000026822;2553,957991539999966;nan;-6,7634845
99;0;854166,789100000052713;987772,588800000026822;2630,136171929999819;nan;-7,1368437
100;0;854231,789100000052713;987772,588800000026822;2678,321645810000064;nan;-7,3338470
101;0;854296,789100000052713;987772,588800000026822;2717,368730250000226;nan;-7,5349803
102;0;854361,789100000052713;987772,588800000026822;2748,974254039999778;nan;-7,7073798
103;0;854426,789100000052713;987772,588800000026822;2756,371827680000024;nan;-7,8698878
104;0;854491,789100000052713;987772,588800000026822;2734,491413700000066;nan;-7,9264126
105;0;854556,789100000052713;987772,588800000026822;2699,589651820000199;nan;-7,9923582
106;0;854621,789100000052713;987772,588800000026822;2664,634234680000191;nan;-8,0488825
107;0;854686,789100000052713;987772,588800000026822;2637,708704329999819;nan;-8,0771379
108;0;854751,789100000052713;987772,588800000026822;2636,423143070000151;nan;-8,0884342
109;0;854816,789100000052713;987772,588800000026822;2628,813786879999952;nan;-8,1016140
110;0;854881,789100000052713;987772,588800000026822;2613,178765159999784;nan;-8,0825491
111;0;854946,789100000052713;987772,588800000026822;2598,869904990000123;nan;-7,8832030
112;0;855011,789100000052713;987772,588800000026822;2557,890876410000146;nan;-7,7123351
113;0;855076,789100000052713;987772,588800000026822;2523,537406829999782;nan;-7,5129886
114;0;855141,789100000052713;987772,588800000026822;2492,653834209999786;nan;-7,0454183
115;0;855206,789100000052713;987772,588800000026822;2478,876842310000029;nan;-6,3268437
116;0;855271,789100000052713;987772,588800000026822;2494,530668070000047;nan;-5,7109227
117;0;855336,789100000052713;987772,588800000026822;2515,931722849999915;nan;-4,9635568
118;0;855401,789100000052713;987772,588800000026822;2521,548106130000178;nan;-4,1748843
119;0;855466,789100000052713;987772,588800000026822;2521,313148209999781;nan;-3,2547672
120;0;855531,789100000052713;987772,588800000026822;2528,954567060000045;nan;-2,4660952
121;0;853646,789100000052713;987838,588800000026822;2308,066187920000175;nan;-4,3589759
122;0;853711,789100000052713;987838,588800000026822;2328,303926860000047;nan;-4,6405787
123;0;853776,789100000052713;987838,588800000026822;2370,115628930000184;nan;-5,0670958
124;0;853841,789100000052713;987838,588800000026822;2395,460785499999929;nan;-5,4466791
125;0;853906,789100000052713;987838,588800000026822;2427,379123050000089;nan;-5,8895264
126;0;853971,789100000052713;987838,588800000026822;2479,174679310000101;nan;-6,2562966
127;0;854036,789100000052713;987838,588800000026822;2513,830320890000166;nan;-6,6542969
128;0;854101,789100000052713;987838,588800000026822;2573,060744819999854;nan;-6,9954405
129;0;854166,789100000052713;987838,588800000026822;2629,669533109999975;nan;-7,3934407
130;0;854231,789100000052713;987838,588800000026822;2685,940091240000129;nan;-7,5984173
131;0;854296,789100000052713;987838,588800000026822;2721,648610480000116;nan;-7,8057847
132;0;854361,789100000052713;987838,588800000026822;2750,966513339999892;nan;-7,9835277
133;0;854426,789100000052713;987838,588800000026822;2767,431474699999853;nan;-8,1542578
134;0;854491,789100000052713;987838,588800000026822;2743,851855089999844;nan;-8,2220898
135;0;854556,789100000052713;987838,588800000026822;2710,885871699999825;nan;-8,3012276
136;0;854621,789100000052713;987838,588800000026822;2677,750606539999808;nan;-8,3690596
137;0;854686,789100000052713;987838,588800000026822;2657,154175870000017;nan;-8,3714380
138;0;854751,789100000052713;987838,588800000026822;2662,851670540000214;nan;-8,3471594
139;0;854816,789100000052713;987838,588800000026822;2657,205913910000163;nan;-8,3188353
140;0;854881,789100000052713;987838,588800000026822;2649,218638830000145;nan;-8,2657280
141;0;854946,789100000052713;987838,588800000026822;2627,097310569999991;nan;-8,0356045
142;0;855011,789100000052713;987838,588800000026822;2585,096169479999844;nan;-7,8383555
143;0;855076,789100000052713;987838,588800000026822;2545,383119019999867;nan;-7,6082320
144;0;855141,789100000052713;987838,588800000026822;2510,826712730000054;nan;-7,1379185
145;0;855206,789100000052713;987838,588800000026822;2490,228401540000050;nan;-6,4299321
146;0;855271,789100000052713;987838,588800000026822;2490,259419869999874;nan;-5,8230867
147;0;855336,789100000052713;987838,588800000026822;2505,332670480000161;nan;-5,0855994
148;0;855401,789100000052713;987838,588800000026822;2525,949413740000182;nan;-4,3017478
149;0;855466,789100000052713;987838,588800000026822;2528,817120570000043;nan;-3,3872535
150;0;855531,789100000052713;987838,588800000026822;2526,155007599999863;nan;-2,6034017
151;0;853646,789100000052713;987904,588800000026822;2331,126108630000090;nan;-4,4241967
152;0;853711,789100000052713;987904,588800000026822;2371,413441419999799;nan;-4,7421384
153;0;853776,789100000052713;987904,588800000026822;2383,435861890000069;nan;-5,2011628
154;0;853841,789100000052713;987904,588800000026822;2422,087224160000005;nan;-5,6071973
155;0;853906,789100000052713;987904,588800000026822;2436,475944270000127;nan;-6,0809040
156;0;853971,789100000052713;987904,588800000026822;2490,910211379999964;nan;-6,4735217
157;0;854036,789100000052713;987904,588800000026822;2501,236186380000163;nan;-6,9002705
158;0;854101,789100000052713;987904,588800000026822;2585,849303689999942;nan;-7,2660556
159;0;854166,789100000052713;987904,588800000026822;2650,169709150000017;nan;-7,6928043
160;0;854231,789100000052713;987904,588800000026822;2681,533254899999974;nan;-7,9070830
161;0;854296,789100000052713;987904,588800000026822;2719,454792219999945;nan;-8,1217232
162;0;854361,789100000052713;987904,588800000026822;2760,676698180000130;nan;-8,3057003
163;0;854426,789100000052713;987904,588800000026822;2776,951348139999936;nan;-8,4860229
164;0;854491,789100000052713;987904,588800000026822;2755,886769549999826;nan;-8,5670471
165;0;854556,789100000052713;987904,588800000026822;2721,688737179999862;nan;-8,6615744
166;0;854621,789100000052713;987904,588800000026822;2694,023095359999843;nan;-8,7425985
167;0;854686,789100000052713;987904,588800000026822;2677,250305760000174;nan;-8,7147875
168;0;854751,789100000052713;987904,588800000026822;2687,111630590000004;nan;-8,6490059
169;0;854816,789100000052713;987904,588800000026822;2690,999507919999814;nan;-8,5722599
170;0;854881,789100000052713;987904,588800000026822;2678,656533620000118;nan;-8,4794369
171;0;854946,789100000052713;987904,588800000026822;2652,132049480000205;nan;-8,2134066
172;0;855011,789100000052713;987904,588800000026822;2605,151313240000036;nan;-7,9853797
173;0;855076,789100000052713;987904,588800000026822;2565,402291880000121;nan;-7,7193489
174;0;855141,789100000052713;987904,588800000026822;2537,349498990000029;nan;-7,2458353
175;0;855206,789100000052713;987904,588800000026822;2507,674108080000224;nan;-6,5502019
176;0;855271,789100000052713;987904,588800000026822;2497,095447900000181;nan;-5,9539452
177;0;855336,789100000052713;987904,588800000026822;2502,782861799999864;nan;-5,2279830
178;0;855401,789100000052713;987904,588800000026822;2519,703332420000152;nan;-4,4497542
179;0;855466,789100000052713;987904,588800000026822;2526,728963959999874;nan;-3,5418210
180;0;855531,789100000052713;987904,588800000026822;2518,254157670000041;nan;-2,7635925
181;0;853646,789100000052713;987970,588800000026822;2354,253250270000080;nan;-4,4800997
182;0;853711,789100000052713;987970,588800000026822;2345,727251230000093;nan;-4,8291893
183;0;853776,789100000052713;987970,588800000026822;2389,501607740000054;nan;-5,3160777
184;0;853841,789100000052713;987970,588800000026822;2413,346111830000154;nan;-5,7447844
185;0;853906,789100000052713;987970,588800000026822;2449,302516570000080;nan;-6,2449422
186;0;853971,789100000052713;987970,588800000026822;2479,101746859999821;nan;-6,6597152
187;0;854036,789100000052713;987970,588800000026822;2514,768187489999946;nan;-7,1111054
