X,Y,Z,Anomaly
855134.9469947369,987835.1151157895,2589.9981110421054,-6.259812138034247
854142.841731579,987835.1151157895,2449.890285007895,-6.097464187967733
854341.2627842106,988095.641431579,2449.890285007895,-5.518472447323596
854440.4733105263,988199.8519578947,2589.9981110421054,-6.868028027758143
854341.2627842106,987991.4309052632,2421.868719801053,-5.126604821718601
854936.5259421053,987783.0098526316,2646.0412414557895,-6.132389578843787
854440.4733105263,987626.6940631579,2646.0412414557895,-5.881284833357531
854738.1048894738,988460.3782736842,2646.0412414557895,-6.391123709542544
853944.4206789475,987991.4309052632,2533.9549806284213,-6.1604690961834745
854341.2627842106,988564.5888,2533.9549806284213,-5.365380052009524
854440.4733105263,987626.6940631579,2393.8471545942107,-4.656483332843041
854638.8943631579,987783.0098526316,2421.868719801053,-5.1224725406189275
854936.5259421053,988147.7466947369,2646.0412414557895,-7.282173651533449
854341.2627842106,988356.1677473685,2589.9981110421054,-6.4077179768907175
854043.6312052632,987887.2203789474,2533.9549806284213,-6.266016851052435
854936.5259421053,988095.641431579,2477.911850214737,-5.141235591174129
854341.2627842106,987574.5888,2646.0412414557895,-5.475117366880743
854242.0522578948,988095.641431579,2674.062806662632,-6.926516478305197
854440.4733105263,988356.1677473685,2533.9549806284213,-5.9320253459315655
853646.7891,987939.3256421053,2309.7824589736842,-3.7813889484638112
854936.5259421053,988043.536168421,2618.0196762489477,-6.901643835433079
854738.1048894738,987730.9045894737,2618.0196762489477,-6.966574295093829
855134.9469947369,988147.7466947369,2533.9549806284213,-5.820550867200199
854043.6312052632,988043.536168421,2449.890285007895,-6.0771814831121445
854242.0522578948,987678.7993263159,2618.0196762489477,-6.28705916782975
854738.1048894738,987887.2203789474,2505.933415421579,-5.851754439357916
855333.3680473685,987730.9045894737,2561.976545835263,-4.664617912105325
854638.8943631579,988199.8519578947,2618.0196762489477,-6.968739652334176
854341.2627842106,988304.0624842106,2533.9549806284213,-6.311377363058793
855234.1575210526,988147.7466947369,2477.911850214737,-4.381379503035206
853745.9996263159,988199.8519578947,2393.8471545942107,-5.500605328911621
854936.5259421053,987678.7993263159,2505.933415421579,-5.57054934140994
854539.6838368422,987991.4309052632,2674.062806662632,-6.897161900619272
855432.5785736842,987835.1151157895,2505.933415421579,-4.519581183868946
854341.2627842106,987887.2203789474,2730.105937076316,-6.729832050095949
854242.0522578948,988095.641431579,2449.890285007895,-5.443915766889003
855333.3680473685,987835.1151157895,2561.976545835263,-5.057216286425199
855333.3680473685,987730.9045894737,2533.9549806284213,-4.869861386934554
854539.6838368422,988095.641431579,2393.8471545942107,-4.104279304723912
854043.6312052632,988147.7466947369,2561.976545835263,-6.551213285181336
854242.0522578948,988356.1677473685,2561.976545835263,-6.3015267176594705
855333.3680473685,988512.4835368422,2589.9981110421054,-4.4734409251066145
854341.2627842106,988251.9572210526,2646.0412414557895,-7.003770191920525
854539.6838368422,987574.5888,2421.868719801053,-4.666159693413368
854738.1048894738,988043.536168421,2505.933415421579,-5.901090279192338
854837.3154157895,988043.536168421,2646.0412414557895,-6.902413663644041
854440.4733105263,987626.6940631579,2449.890285007895,-5.359939626006834
855234.1575210526,988460.3782736842,2505.933415421579,-4.525348583055884
854341.2627842106,987730.9045894737,2674.062806662632,-6.409706474607761
854539.6838368422,988304.0624842106,2646.0412414557895,-7.034890629684434
855035.7364684211,987887.2203789474,2449.890285007895,-4.608654033960634
854142.841731579,988512.4835368422,2477.911850214737,-5.585997795226454
855234.1575210526,988251.9572210526,2533.9549806284213,-5.769417753679102
854539.6838368422,988095.641431579,2505.933415421579,-5.851067319561145
854142.841731579,988304.0624842106,2393.8471545942107,-4.466285709082062
855432.5785736842,988304.0624842106,2533.9549806284213,-4.775195128573859
854936.5259421053,987887.2203789474,2561.976545835263,-6.316350972866739
854440.4733105263,988512.4835368422,2618.0196762489477,-6.528285832691495
855134.9469947369,987574.5888,2589.9981110421054,-4.052382260045494
855234.1575210526,987939.3256421053,2589.9981110421054,-5.93789369895171
855035.7364684211,988043.536168421,2505.933415421579,-5.5463859312425825
854936.5259421053,988251.9572210526,2449.890285007895,-4.493919115413451
854242.0522578948,987678.7993263159,2421.868719801053,-5.207125790873856
854043.6312052632,988408.2730105263,2505.933415421579,-5.687834152992393
854936.5259421053,987783.0098526316,2561.976545835263,-6.258703875713828
854142.841731579,987991.4309052632,2365.8255893873684,-4.270338611380547
853646.7891,988147.7466947369,2337.8040241805265,-3.7201954401455395
854837.3154157895,988356.1677473685,2505.933415421579,-5.192166032338101
854936.5259421053,988356.1677473685,2589.9981110421054,-6.594924831055597
853845.2101526316,988043.536168421,2337.8040241805265,-4.213550015327933
854837.3154157895,988564.5888,2589.9981110421054,-5.411675189941526
854638.8943631579,988095.641431579,2505.933415421579,-5.71049067534898
854142.841731579,987730.9045894737,2337.8040241805265,-4.304482781350572
