X,Y,Z,formation
854890.7218,987868.3798,-1226.337564,Edificio_Volcanico
854890.7218,987868.3955,-1031.101486,Edificio_Volcanico
854890.7218,987875.7726,-579.2355493,Edificio_Volcanico
853614.2891,988145.9441,1168.101733,Complejo_Dacitico
853669.4619,988145.9441,972.3097362,Complejo_Dacitico
853771.5099,988145.9441,583.5551183,Complejo_Dacitico
853912.879,988145.9441,432.5586055,Complejo_Dacitico
853976.3792,988145.9441,411.3918953,Complejo_Dacitico
854161.0723,988145.9441,446.9054226,Complejo_Dacitico
854284.9306,988145.9441,414.2833823,Complejo_Dacitico
854336.2132,988145.9441,236.7665618,Complejo_Dacitico
854391.7758,988145.9441,287.396809,Complejo_Dacitico
854447.3384,988145.9441,291.7047142,Complejo_Dacitico
854502.901,988145.9441,307.7546597,Complejo_Dacitico
854558.4636,988145.9441,309.4287525,Complejo_Dacitico
854614.0263,988145.9441,269.2307794,Complejo_Dacitico
854669.5889,988145.9441,290.3540585,Complejo_Dacitico
854725.1515,988145.9441,344.3704449,Complejo_Dacitico
854780.8426,988145.9441,269.1909871,Complejo_Dacitico
854836.2767,988145.9441,140.5740725,Complejo_Dacitico
854947.4019,988145.9441,39.15146155,Complejo_Dacitico
855002.9645,988145.9441,58.34612938,Complejo_Dacitico
855058.5271,988145.9441,98.14093692,Complejo_Dacitico
855114.0898,988145.9441,189.1414474,Complejo_Dacitico
855196.1414,988145.9441,296.1652961,Complejo_Dacitico
855285.5087,988145.9441,289.8963898,Complejo_Dacitico
855362.7986,988145.9441,199.7248056,Complejo_Dacitico
855489.7988,988145.9441,263.2249323,Complejo_Dacitico
855566.4948,988145.9441,538.3921401,Complejo_Dacitico
854890.7218,987541.5888,261.8898525,Complejo_Dacitico
854890.7218,987602.3419,223.7850551,Complejo_Dacitico
854890.7218,987640.4467,131.244833,Complejo_Dacitico
854890.7218,987673.1078,27.81746481,Complejo_Dacitico
854890.7218,987716.6562,-15.73075297,Complejo_Dacitico
854890.7218,987748.4644,8.167636497,Complejo_Dacitico
854890.7218,987771.0916,-34.35222339,Complejo_Dacitico
854890.7218,987832.3158,15.89850628,Complejo_Dacitico
854890.7218,987901.7366,-15.73075297,Complejo_Dacitico
854890.7218,987941.319,63.70075183,Complejo_Dacitico
854890.7218,987982.4176,71.27303174,Complejo_Dacitico
854890.7218,988041.5882,54.09384306,Complejo_Dacitico
854890.7218,988226.6561,59.25664775,Complejo_Dacitico
854890.7218,988331.7764,27.86565568,Complejo_Dacitico
854890.7218,988362.0197,34.41954766,Complejo_Dacitico
854890.7218,988402.5424,60.47884176,Complejo_Dacitico
854890.7218,988424.5925,178.7564564,Complejo_Dacitico
854890.7218,988451.5344,392.1118683,Complejo_Dacitico
854890.7218,988465.1997,541.7384035,Complejo_Dacitico
854890.7218,988495.0826,702.8166714,Complejo_Dacitico
854890.7218,988495.0826,789.913229,Complejo_Dacitico
854890.7218,988522.3004,893.3406582,Complejo_Dacitico
854890.7218,988544.0746,1013.098471,Complejo_Dacitico
854890.7218,988582.2822,1129.983206,Complejo_Dacitico
854890.7218,988613.4712,1225.396627,Complejo_Dacitico
