X,Y,Z,formation
854890.7218,988448.8559,-761.3622271,Sucesion_Volcanica
854890.7218,988473.365,-489.0652661,Sucesion_Volcanica
854890.7218,988495.6656,-248.3393345,Sucesion_Volcanica
854890.7218,988524.4152,63.55980414,Sucesion_Volcanica
854890.7218,988550.2833,320.4883863,Sucesion_Volcanica
854890.7218,988570.3481,516.7406277,Sucesion_Volcanica
854890.7218,988593.5583,788.5441583,Sucesion_Volcanica
853709.9154,988145.9441,281.5892759,Sucesion_Volcanica
853754.784,988145.9441,37.46944127,Sucesion_Volcanica
853883.2456,988145.9441,-183.9217953,Sucesion_Volcanica
854001.5378,988145.9441,-280.0341785,Sucesion_Volcanica
854120.5562,988145.9441,-413.9146493,Sucesion_Volcanica
854216.6213,988145.9441,-596.6726208,Sucesion_Volcanica
854265.3397,988145.9441,-751.1457248,Sucesion_Volcanica
854320.0317,988145.9441,-924.5593293,Sucesion_Volcanica
855161.6491,988145.9441,-1147.847602,Sucesion_Volcanica
855239.08,988145.9441,-1048.293478,Sucesion_Volcanica
855338.1525,988145.9441,-919.9539091,Sucesion_Volcanica
855438.9987,988145.9441,-799.8730272,Sucesion_Volcanica
855478.6748,988145.9441,-685.0213204,Sucesion_Volcanica
855535.2152,988145.9441,-598.1037264,Sucesion_Volcanica
